trajectory,path_index,parent_index,sector,mode,phi_H,charge_fraction,Phi1,T_MeV,mu_B_MeV,mu_B_over_T,s_over_T3,n_B_over_T3,s_over_n_B,branch_id,locally_stable,inside_spinodal,reduced_distance_to_CEP,Re_omega_hat,Im_omega_hat,shooting_source_residual,spectral_distance_hat,spectral_overlap_parent,spectral_pencil_residual
mu_over_T_2,14,13,tensor,0,4.25,0.07434220757034397,34.30852639932777,106.02638949026223,212.0527789798818,1.9999999999939386,1.2884557057471053,0.00259280195153703,496.9356433040712,stable_crossover,True,False,0.642973942980754,1.6142559134209042,-0.6660444443029201,6.38012385663125e-11,8.037322476152806e-05,0.999931314480946,5.723748481259458e-16
mu_over_T_2,13,12,tensor,0,4.0,0.10210922810457891,26.52085745275096,111.92246758090434,223.84492921714758,1.9999999468859004,1.6328000736397883,0.006888958643665225,237.01696556724687,stable_crossover,True,False,0.627681807257381,1.6120684245485173,-0.6858673878816158,1.2284567740544822e-09,7.397522045914218e-05,0.9999240873977437,5.317198970211854e-16
mu_over_T_2,12,0,tensor,0,3.75,0.13164016657773406,20.203793058890337,117.50577287122726,235.01154574068144,1.9999999999849107,2.077865389586607,0.016411154434199375,126.61299349279913,stable_crossover,True,False,0.6182767621549239,1.6163294963880377,-0.7157521380915512,2.3157891110275756e-15,7.977628864719064e-05,0.9999170231027784,6.791074763925289e-16
mu_over_T_2,0,-1,tensor,0,3.5,0.15979910939976305,15.184432054750223,122.90081855423516,245.80163565198026,1.9999999881490613,2.651425514066384,0.03520835238094877,75.3067194220957,stable_crossover,True,False,0.6140992393172456,1.625591531476937,-0.7557764367477927,3.977001006835716e-15,9.593933269832805e-05,nan,5.833490770230335e-16
mu_over_T_2,1,0,tensor,0,3.25,0.1832954560408366,11.277459946322931,128.42545669868616,256.85090997020575,1.9999999733139624,3.380158801393535,0.06820221434207441,49.560836609205104,stable_crossover,True,False,0.6149271081009537,1.6365708592044483,-0.8050845741397882,1.1146154066195515e-14,0.00012776767948829965,0.999912330957227,6.851896033653893e-16
mu_over_T_2,2,1,tensor,0,3.0,0.19933849569306603,8.293733268668744,134.55328706632616,269.10657818791134,2.000000030138684,4.280975906339507,0.11931323743013851,35.88014204078694,stable_crossover,True,False,0.6218586211383832,1.6450049848175912,-0.8616313600018015,4.958030683532655e-15,0.00018637504083966202,0.9999123661618102,6.67915501632316e-16
mu_over_T_2,3,2,tensor,0,2.75,0.20637488288835357,6.061326382416166,141.80443093781403,283.60885607051625,1.99999995906255,5.353381593077503,0.18845420144440958,28.40680415743689,stable_crossover,True,False,0.6379392987183052,1.6474168034858747,-0.9225111145864139,1.3971391719399495e-14,0.0002896759836676368,0.9999178982835736,7.380875268693158e-16
mu_over_T_2,4,3,tensor,0,2.5,0.20482469141099366,4.436402173382437,150.61550952526073,301.231015380325,1.999999975632015,6.580582400178056,0.2696556006432952,24.403655568359422,stable_crossover,True,False,0.668085197937902,1.6429881485497195,-0.9849867682765385,3.182696847025181e-14,0.0004656604872617151,0.9999270998729576,6.297130823545366e-16
mu_over_T_2,5,4,tensor,0,2.25,0.19718690640801326,3.296647638247193,161.30692817695865,322.61385635391065,1.9999999999999587,7.939330387114761,0.35310368123494545,22.4844169263479,stable_crossover,True,False,0.7182265059020311,1.6338802224157767,-1.0475164942218664,1.5666644836109375e-14,0.0007601024731445252,0.9999369399851356,7.8599092890928e-16
mu_over_T_2,6,5,tensor,0,2.0,0.18697337911367887,2.5299559324616476,174.2432565471141,348.4865074169395,1.9999999674174553,9.405552580629182,0.4299158687854955,21.877658545611954,stable_crossover,True,False,0.7948726370715244,1.6233928111561668,-1.1096825740268448,4.013791370257763e-14,0.0012530625831500058,0.9999456552540756,7.4122411278607675e-16
